date_of_birth,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id,cluster id
1963/05/03,chloe,wasley,148,mclachlan crescent,merri banks,upper coomera,6148,qld,5068158,febrl3-cl-1
1930/04/07,cheree,purtell,1,spring range road,guest village cnr bullcreek d drive,cooma,4216,wa,5062347,febrl3-cl-2
,tanar,george,77,britten jones drive,roskhil,torquay,0331,nsw,5067972,febrl3-cl-3
1958/06/05,emma,munyarryun,64,warner p lace,lot nq,dromana,5052,nsw,9443774,febrl3-cl-4
1935/05/13,benjamih,foottit,10,macrobertson street,bowan brae,nunawading,4814,vic,9447822,febrl3-cl-5
1978/08/24,jed,mcfadden,25,selwyn street,cooee,waverley,2765,nsw,7120764,febrl3-cl-6
1982/08/01,danielle,stanley,23,river street,willmon tpark,coopersshoot,4865,vic,7127513,febrl3-cl-7
1975/03/07,jacob,schuster,5,maidment place,woy woy community care,sunshine,2540,sa,4344953,febrl3-cl-8
1942/08/04,kaitlin,dixon,33,ware place,spylas farm,morwell,2617,nsw,4342419,febrl3-cl-9
1918/04/07,chloe,webb,309,hannan crescent,golden ponds,mannering park,2257,vic,4261331,febrl3-cl-10
1919/05/14,caitlin,menzies,31,adair street,kilnacrott,wentworth falls,2785,nsw,8126161,febrl3-cl-11
1978/05/27,fikipov,imoegn,82,freda bennett circuit,willandra,mount dolah,3162,nsw,8125445,febrl3-cl-12
1930/01/21,holly,stoker,5,ballumbir street,chetwynd,kirrawee,6009,vic,8123371,febrl3-cl-13
1902/08/12,michael,broadby,61,burrinjuck crescent,duck creek,geraldton,2043,qld,8129823,febrl3-cl-14
,lily,hxo,495,mccabe crescent,apple cottage,bellevue hill,2758,qld,8123343,febrl3-cl-15
1944/12/19,hamish,huebner,44,shepherdson place,boeing park,berriwillock,2259,vic,4829612,febrl3-cl-16
1910/10/08,benjamin,mugo,302,peat place,arlington,frankston,4518,nsw,5994946,febrl3-cl-17
1901/10/02,tanar,nguyen,8,jerrabomberraavenue,brentwood village,broome,4022,vic,5998380,febrl3-cl-18
1919/08/04,tansy,nekar,69,boddington crescent,eulong,campie,2650,nsw,5994069,febrl3-cl-19
1938/11/07,micah,humphreys,2,windradyne street,enter boolwey s street,jacanz,3137,nsw,5990502,febrl3-cl-20
1962/10/20,chelsea,morrison,6,hansen circuit,public building,golden bay,2680,nsw,6038747,febrl3-cl-21
1970/12/14,bayden,lamborn,85,capella crescent,wilga,leongatha,5098,vic,6030277,febrl3-cl-22
1919/02/25,finn,hope,64,mather street,pineowvd,telegraph point,5700,nsw,4390315,febrl3-cl-23
1901/06/30,benjamin,novak,39,port jackson circuit,sherwood,dapto,6163,nt,6037054,febrl3-cl-24
1911/06/05,mitchell,richmond,38,fidge street,wentworth house,blair athol,6148,nsw,4392610,febrl3-cl-25
1987/04/09,harrison,campain,34,ossa place,,mooroolbark,6155,vic,4394472,febrl3-cl-26
1977/12/26,darcy,shepherd,23,,unt 2,kinross,2540,nsw,6039792,febrl3-cl-27
1973/05/10,tenille,swiggs,150,verbrugghen street,gallagher hse,artarmon,7300,qld,6436926,febrl3-cl-28
1905/10/29,olivia,green,47,mugga way,dunoon cnr acmpt r road,avenel lheights,6148,vic,6438790,febrl3-cl-29
1905/09/07,aaron,hemmings,3,henry street,oakey isle wallis lke off,pooraka,3168,qld,6432157,febrl3-cl-30
1964/02/24,campbell,bosslwy,176,caley crescent,glen ayre,frankston,4880,nsw,8497904,febrl3-cl-31
1940/12/14,jazz,stephenson,210,julia flynn avenue,nazareth village,ingleubrn,3172,sa,4166094,febrl3-cl-32
1944/06/13,bryce,rees,16,meldrum street,rp 155232,arana hills,3128,nsw,4164990,febrl3-cl-33
1946/11/11,charlie,roussounis,13,gledden street,woorabinda,craigmore,6026,nsw,7379154,febrl3-cl-34
1958/02/12,silas,webb,20,jacka crescent,shopping centre,nambour,4306,vic,7373672,febrl3-cl-35
1942/07/08,anita,catherwood,5,nish place,talonmane,emerald,3073,nsw,7373271,febrl3-cl-36
1927/07/01,cassandra,rafanelli,3025,gundara street,berragoon,st albans,3020,wa,7377790,febrl3-cl-37
1961/03/18,flynn,crea,45,,berkeley village,lismore,2068,nsw,7062906,febrl3-cl-38
1951/04/26,sophie,bullock,6,boolee street,,port fairy,6076,sa,3859714,febrl3-cl-39
1924/08/24,william,panagaris,39,dryandra street,emmavale,teesdale,5554,vic,3853135,febrl3-cl-40
1946/01/04,louise,breheny,13,hawker street,byamee,woodcroft,2165,sa,3854020,febrl3-cl-41
1902/03/26,lily,petersen,13,bissenberger crescent,railway stn,melville,2250,,3851424,febrl3-cl-42
1913/11/03,oshaughnessy,white,19,araluen street,barclay downs,coralville,2114,qld,4312580,febrl3-cl-43
1986/05/08,holly,berry,41,glendas,bates street,currimundi,4670,nxw,4314482,febrl3-cl-44
1992/11/19,isabelle,,23,gundulu place,curringa,utakarra,2193,wa,4314184,febrl3-cl-45
1922/05/24,joel,ryan,45,wisdom street,warbinya,pymble,4605,wa,5522329,febrl3-cl-46
1984/09/06,jessica,petersen,72,springvale drive,,toowoomba,2905,nsw,5526479,febrl3-cl-47
1929/04/21,michael,tylkowski,276,ashburton circuit,the market place,st peters,2570,nsw,9384379,febrl3-cl-48
1945/03/01,,kidsley,18,disney court,ramano estate locn 1,labrador,2281,vic,2092869,febrl3-cl-49
1967/05/19,erin,humphreys,11,endeavour street,lake macquarie vlge,umina beach,4873,nsw,5094045,febrl3-cl-50
1962/10/28,emiily,zimmermann,38,redfern s treet,blue mountaih lagoon,riverwood,3350,nsw,5099383,febrl3-cl-51
1976/08/12,olivia,hobson,78,louis loder street,summit cottage,kaleen,4870,nsw,4535695,febrl3-cl-52
1977/09/25,patrick,dargaville,18,cerutty crescent,rosedale,st lucia,3364,nsw,5982994,febrl3-cl-53
1979/01/10,joshua,green,17,maddock place,maddock place,edgecliff,6244,qld,4331997,febrl3-cl-54
1917/11/25,wilson,maria o,16,duterrau crescent,warrambuccagarden,glenden,3232,vic,5984860,febrl3-cl-55
1993/02/18,kyle,pringle,72,carrodus street,wattle brae,labradlr,3280,wa,3589735,febrl3-cl-56
,isabella,rundle,8,fawkner street,emerald agrigultural college,pottsville,6154,nsw,6097070,febrl3-cl-57
1944/10/22,danny,petersen,12,owen dixon drive,rawdon hill,minto,3029,wa,6090944,febrl3-cl-58
1963/10/11,david,knapman,66,blamey crescent,mira monte,floraville,4103,wa,6091304,febrl3-cl-59
1957/05/29,charlotte,mccracken,5,,flr 5 john flynn medical centre,blighp ark,4814,nsw,6092940,febrl3-cl-60
1935/03/10,aidn,jolly,532,mckillop circuit,athlone,moruya,3178,qld,8165777,febrl3-cl-61
1942/09/06,samantha,forshaw,24,mcmillan crescent,tarwong,thebarton,3178,nsw,8586103,febrl3-cl-62
1913/08/06,hannah,dixon,7,ferguson circuit,crown allotment,albur,7253,nsw,1605711,febrl3-cl-63
1920/09/09,grace,george,1,hopegoodplace,willow lmdge,bonython,2550,nxw,7396495,febrl3-cl-64
1969/01/29,samuel,jolly,35,lorimer place,greenswylde,collie,3222,sa,8160192,febrl3-cl-65
1951/01/03,will,seng,36,jim pike avenue,warilei,yengarie,5540,qld,1604410,febrl3-cl-66
1904/06/05,benjamin,,83,hattersley court,wintersloe,allambie heights,2480,wa,1601537,febrl3-cl-67
1951/03/02,bradley,clarke,40,sharwood crescent,lynd hurat,ringwood,3959,wa,8586164,febrl3-cl-68
1900/09/11,natassia,blake,37,watgania,kathner street,batemans bay,7004,act,8022390,febrl3-cl-69
1963/08/18,millane,mccarthy,3,alfred hill drive,hold fast shores,mortlake,2032,wa,6220857,febrl3-cl-70
1900/01/03,lukar,rees,364,solly place,wyoming park,strathbogie,2327,vic,7395505,febrl3-cl-71
1951/07/15,amy,chandler,65,plant road,blck 1089,findon,2086,sa,1609739,febrl3-cl-72
1974/12/15,stella,chandler,50,ebden street,rosetta village,coffs harbour,6304,vic,8164610,febrl3-cl-73
1922/03/25,bailee,crouch,22,tompsitt court,rosetta village,wamberal,4405,wa,8635129,febrl3-cl-74
1909/10/04,james,van wijk,4,macqueen place,noelurma,picnic bay,3147,vic,4476788,febrl3-cl-75
1997/03/26,mikayla,clarke,225,richardsoncircuit,windy gully,campbell town,3814,vic,3619696,febrl3-cl-76
1907/04/18,jarrod,clarke,18,guthridge crescent,lyra park,moama,3011,qld,3612563,febrl3-cl-77
1932/03/23,xavier,david,10,mcluckie crescent,glenbrae,murdoch,3143,sa,8644609,febrl3-cl-78
1992/05/12,reuben,edgecombe,6,ashburton circuit,northavenue,palmerston,4213,vic,8642119,febrl3-cl-79
1925/10/21,nathan,monaco,16,hollis place,villa 2,summer hill,4207,nsw,1784132,febrl3-cl-80
1977/05/01,mikhayla,hannagan,20,rupp lace,brentwood vlge,penshurst,2257,vic,1030769,febrl3-cl-81
1943/02/14,charlotte,vincent,9,williamson street,lasswade,toowoomba,4814,nsw,1033071,febrl3-cl-82
1906/10/24,alec,mason,18,barrier street,sec 443 bellamour,park holme,2029,wa,5623275,febrl3-cl-83
1908/10/17,emiily,blake,11,kevin treet,sunbury,tinbeerwah,6210,vic,7575886,febrl3-cl-84
1930/02/07,sam,stephenson,432,geeves court,geeves court,logan reserve,4160,qld,7577085,febrl3-cl-85
1978/12/10,matthew,pavin,28,barlow street,wallaces ck,risdon park,2049,nsw,7578895,febrl3-cl-86
1967/02/03,emiily,brummer archer,33,mackenzie street,sunbury,salisbury heights,2121,wa,5628066,febrl3-cl-87
,bradley,korbut,25,werriwa crescent,the old parsonage,calista,4205,wa,7572011,febrl3-cl-88
1950/11/19,braiden,goldsworthy,12,frencham place,willtarny,tumbarumba,2161,nsw,7570745,febrl3-cl-89
1912/04/07,mitchell,corbin,45,magenta square,rsl building,goornong,6501,qld,6571360,febrl3-cl-90
1900/06/26,amelia,kochiwama,44,antares crescent,telopea park,benowa,7017,nsw,2398260,febrl3-cl-91
1918/11/14,lily,les,14,learmonth drive,glenview,patterson lakes,2031,tas,2396732,febrl3-cl-92
1910/02/12,anton,miles,45,de little c ircuit,hamilton park,cooroy,4202,vic,9909697,febrl3-cl-93
1931/07/28,sarah,white,48,sadlier street,berkeley village,punchbowl,2263,vic,9902353,febrl3-cl-94
1948/03/30,keaton,mccarthy,9,cathieqplace,lavender farm,westmead,2023,qld,9907131,febrl3-cl-95
1916/10/04,aidan,horsley,25,rosenthal street,wattle brae,irvingdale,3082,vic,9900834,febrl3-cl-96
1948/01/01,eliza,rundle,19,warabin crescent,east road,mermaid waters,2644,nsw,9904533,febrl3-cl-97
1969/05/20,tynan,blacklow,15,annear place,nioka,rheola,4034,nsw,8046280,febrl3-cl-98
1902/04/22,ella,weler,3,arthur circle,villa 184,springvaxe south,2653,,5679851,febrl3-cl-99
1993/03/27,leon,haar,24,inwood lace,brindabella specialist centre,newcastle,4019,vic,5674799,febrl3-cl-100
1906/07/11,mia,tamasauskas,11,rollston street,riverview terraces,northbridge,6147,nsw,5670356,febrl3-cl-101
1950/02/12,emma,lablack,15,henry street,,drysdale,2570,nt,1009364,febrl3-cl-102
1980/09/16,tyler,frojd,8,burramurra avenue,kmart p plaza,san rmeo,3670,sa,7812219,febrl3-cl-103
1957/03/19,dante,campbell,153,scantlebury crescent,,rochester,3011,sa,7815398,febrl3-cl-104
1983/10/25,jared,wytkin,61,belfield crescent,rowethorpe,bundaberg,5081,,2988806,febrl3-cl-105
1976/08/29,harry,peachey,45,george street,wirreanda vlge,huonbrook,3194,sa,7814989,febrl3-cl-106
1903/07/04,sophie,reid,11,hoad place,lockwood,beachuere,4106,nsw,2982434,febrl3-cl-107
1906/11/25,alisa,marous,13,algan street,belvedere,ballina,3274,qld,7818366,febrl3-cl-108
,shandril,bristow,171,william webb drive,locn 10045,emu plains,4868,vic,7819868,febrl3-cl-109
1905/01/03,rebecca,trenerry,323,ashburner street,little glencoe,roxburgh park,2000,wa,2980023,febrl3-cl-110
1921/03/24,jacqueline,matthews,50,callaghan street,narla vlge,punchbowl,3815,qld,2110260,febrl3-cl-111
1997/10/21,harry,clarke,16,hyndes crescent,royal brisbane hospital,homebush,4805,nsw,6391399,febrl3-cl-112
1953/09/21,ronan,phillpott,70,southwood retreat,tieve tara,lalor,2177,sa,6393449,febrl3-cl-113
1985/05/23,mikhaili,reid,46,bambridge street,john flynn hospital,eight mile plains,4806,nsw,2111602,febrl3-cl-114
1985/05/23,elly,reid,58,bambridge street,john flynn hospital,eight mile plains,4860,nsw,6391700,febrl3-cl-115
1936/11/27,grace,futcher,70,burt street,clear creek,mentone,6023,nsw,2331344,febrl3-cl-116
1900/11/15,jake,westbrook,15,booroondara street,ascot park,salisbury east,2074,nsw,2330929,febrl3-cl-117
1907/01/06,bailee,bevis,26,fitzsimmons street,sovereign court,rochester,2620,vic,1266796,febrl3-cl-118
1986/09/20,ainsley,blake,60,endeavour street,sheep station,redhead,7015,qld,1261880,febrl3-cl-119
1952/09/17,wil,hefford,1,solly place,margaret river carvn park,port pirie,5000,nsw,1267536,febrl3-cl-120
1949/06/30,lauren,heenan,15,warland place,belbee,st clair,3630,sa,2210907,febrl3-cl-121
1919/03/02,olivia,artis,12,marcus clarke street,lake road,mill park,3173,nsw,2211444,febrl3-cl-122
1954/01/28,melinda,sandman,468,nona place,st francis village,east hills,4065,tas,9843714,febrl3-cl-123
1915/09/10,lily,sideris,16,hallstrom circuit,jorobe,surry hills,6012,nsw,9848730,febrl3-cl-124
1935/05/16,am,webb,1215,fisken crescent,,hurlstone park,2144,qdl,9846267,febrl3-cl-125
1964/01/03,sam,clarke,85,couchman crescent,rosetta village,echuca west,5043,vic,6444384,febrl3-cl-126
1909/05/24,lucy,bela,1619,myall street,cohuna estate,ryed,4163,vic,6448886,febrl3-cl-127
1927/05/29,barnaby,egan,13,britten jones drive,rawdon,kaleen,4304,vic,6442115,febrl3-cl-128
1906/10/28,joshua,belperio,5,castlereagh crescent,manor court,maryborough,7310,nsw,6447360,febrl3-cl-129
1905/08/20,benjaminl,carbone,18,arthella,wattle s treet,orange,3550,vic,3677127,febrl3-cl-130
1914/08/01,rachel,ryan,21,kriewaldt circuit,shiel,ermington,4504,vic,3676863,febrl3-cl-131
1924/11/30,berryman,berryman,25,badimara street,garden est,toronto,3146,qld,3676248,febrl3-cl-132
1983/12/16,joel,tyner,25,corringle close,little shaclford,yoogali,3018,wa,7644003,febrl3-cl-133
1989/06/21,dominic,flockhart,2,oxley street,clear creek,northgate,3000,wa,5173538,febrl3-cl-134
1994/11/24,liana,shelley,29,tarra tplace,,noble park north,2170,nsw,5175090,febrl3-cl-135
1993/09/25,callu,jankus,132,mcgivern crescent,wyncliffe,sylvania,3187,nsw,5175345,febrl3-cl-136
1993/09/25,callum,jankus,132,mcgivern crescent,wynclgffe,sylva nia,3187,nsw,5172345,febrl3-cl-137
1916/04/06,blake,green,10,bate place,janglen,poochera,2143,vic,4587041,febrl3-cl-138
1996/01/30,alia,dobrzycki,3,brittlebank circuit,yarrambah,loganlea,2790,vic,4588807,febrl3-cl-139
1956/11/17,cameron,jessu,19,spofforth street,walkers orchard,moree,2208,qld,6804360,febrl3-cl-140
1951/07/17,charlie,stanley,,amagula avenue,bridie s ranch,klemzig,3356,vic,6800801,febrl3-cl-141
1994/09/14,noah,homann,30,cowper street,,toorak,3556,vic,4356988,febrl3-cl-142
1910/11/15,matthew,brookhouse,3,goodparla street,timdoolin,highett,2170,nsw,6804612,febrl3-cl-143
1998/02/01,bianca,marlow,34,dietricho place,,alice springs,5065,wa,4351633,febrl3-cl-144
1927/01/26,lily,nguyen,43,hirschfeld crescent,afflexian,milperra,2084,wa,3183110,febrl3-cl-145
1922/07/23,angus,rees,23,heaton place,pangani,new farm,6210,nsw,8576362,febrl3-cl-146
1940/07/28,jack,patafta,695,leahy close,redhills,charlestown,3134,vci,8570924,febrl3-cl-147
1904/08/13,maxin,mason,15,parkhill street,tintagel,kingston,2800,vic,4116673,febrl3-cl-148
1926/07/03,ashley,carbone,13,louis loder street,john flynn medical centre,blacktown,2430,vic,4111996,febrl3-cl-149
